iter	MAE
172	23511.1958
173	23225.57305
174	22951.39325
175	22559.6167
176	22179.59345
177	21815.94653
178	21463.20902
179	21115.84679
180	20895.54653
181	20677.22626
182	20459.87866
183	20160.40279
184	19946.55011
185	19659.01002
186	19368.06807
187	19085.85437
188	18903.53785
189	18639.45008
190	18383.28493
191	18134.80474
192	17899.60913
193	17660.99671
194	17525.08482
195	17356.21255
196	17145.38863
197	16931.26368
198	16794.97946
199	16595.19786
200	16397.44665
201	16205.62798
202	16023.1208
203	15850.47874
204	15678.61842
205	15580.09758
206	15464.88825
207	15306.01511
208	15203.73651
209	15111.88396
210	14959.56867
211	14819.03025
212	14735.07738
213	14601.15871
214	14522.05591
215	14394.41634
216	14273.28503
217	14181.28183
218	14111.04034
219	13996.54384
220	13930.35182
221	13818.05339
222	13712.14595
223	13602.11069
224	13499.46439
225	13402.73593
226	13308.90933
227	13249.03245
228	13220.40678
229	13169.82137
230	13120.75353
231	13066.30855
232	12980.02065
233	12935.22935
234	12848.81156
235	12768.86745
236	12687.38541
237	12647.71994
238	12575.64792
239	12509.01462
240	12448.9792
241	12383.14682
242	12342.75511
243	12279.85894
244	12241.61139
245	12210.28854
246	12145.75102
247	12088.25274
248	12032.47942
249	11978.3793
250	11926.57171
251	11885.11187
252	11834.05339
253	11809.34836
254	11779.74073
255	11731.66805
256	11703.64314
257	11676.45897
258	11631.15554
259	11588.51537
260	11545.8473
261	11506.24928
262	11469.62317
263	11430.64595
264	11392.83805
265	11375.63538
266	11358.9488
267	11324.32956
268	11308.59514
269	11274.43779
270	11241.30516
271	11221.95162
272	11214.38564
273	11179.75448
274	11149.36811
275	11136.64336
276	11104.29601
277	11076.82564
278	11046.24073
279	11034.94596
280	11023.99002
281	10998.73014
282	10974.22805
283	10951.10627
284	10945.13558
285	10922.35101
286	10913.13752
287	10904.20043
288	10881.93986
289	10860.98454
290	10840.01868
291	10820.30011
292	10801.17309
293	10793.66661
294	10775.13367
295	10760.22803
296	10748.85594
297	10742.20751
298	10721.49673
299	10705.05986
300	10698.97372
301	10693.07017
302	10677.45285
303	10662.30406
304	10652.61319
305	10647.61129
306	10635.42628
307	10630.47905
308	10613.05698
309	10604.36898
310	10599.85151
311	10586.63195
312	10573.80898
313	10561.3707
314	10545.9375
315	10533.83423
316	10519.3489
317	10510.01822
318	10502.73811
319	10499.26794
320	10495.90187
321	10489.0433
322	10485.87524
323	10475.29365
324	10465.02952
325	10455.07331
326	10445.68243
327	10436.36268
328	10434.81783
329	10425.80108
330	10414.33922
331	10406.0749
332	10395.18913
333	10392.90268
334	10390.68481
335	10388.53349
336	10380.91979
337	10373.53451
338	10366.16179
339	10359.17867
340	10353.30722
341	10346.75421
342	10340.39779
343	10334.04133
344	10325.2186
345	10319.40428
346	10313.58556
347	10308.11424
348	10302.80707
349	10301.36762
350	10297.02457
351	10291.89269
352	10287.35772
353	10279.87982
354	10275.22686
355	10274.01713
356	10272.8437
357	10268.25234
358	10263.79872
359	10259.69232
360	10255.52995
361	10251.42797
362	10248.02953
363	10244.10245
364	10243.17662
365	10239.39465
366	10238.52308
367	10234.88025
368	10231.34671
369	10225.44242
370	10222.20364
371	10218.58743
372	10217.89754
373	10215.21039
374	10212.19162
375	10209.17751
376	10206.25383
377	10203.4979
378	10200.74421
379	10198.15077
380	10195.55711
381	10193.04126
382	10192.49314
383	10191.98732
384	10189.96143
385	10186.68114
386	10183.49925
387	10183.0279
388	10182.57069
389	10180.28404
390	10179.85353
391	10179.43593
392	10177.2427
393	10175.11525
394	10173.1157
395	10172.87971
396	10172.51883
397	10170.58315
398	10170.24193
399	10168.32763
400	10168.00632
401	10166.20116
402	10165.89732
403	10165.60259
404	10165.3167
405	10163.59515
406	10163.42552
407	10163.16325
408	10162.90885
409	10162.66208
410	10162.42272
411	10160.77735
412	10159.18134
413	10157.59928
414	10157.38491
415	10157.17698
416	10155.68733
417	10154.42599
418	10152.98824
419	10151.62261
420	10150.26881
421	10148.95562
422	10147.68182
423	10147.51645
424	10147.35603
425	10147.20043
426	10146.00273
427	10144.81695
428	10144.6832
429	10144.58893
430	10144.45441
431	10143.3163
432	10143.18961
433	10143.06671
434	10141.97
435	10140.92468
436	10139.89211
437	10139.78245
438	10138.80143
439	10138.70411
440	10137.86887
441	10137.77119
442	10136.84984
443	10136.75736
444	10135.85026
445	10135.76316
446	10134.90037
447	10134.0488
448	10133.96872
449	10133.89103
450	10133.82021
451	10133.77003
452	10133.69913
453	10132.88403
454	10132.10509
455	10131.33774
456	10131.27442
457	10130.53192
458	10129.82231
459	10129.13399
460	10129.07711
461	10128.41389
462	10127.84504
463	10127.79276
464	10127.16479
465	10127.11526
466	10127.06721
467	10127.0206
468	10126.41476
469	10126.37059
470	10126.32774
471	10125.74206
472	10125.17607
473	10125.14828
474	10125.10977
475	10125.07241
476	10124.51602
477	10123.97633
478	10123.45283
479	10123.41964
480	10123.38745
481	10122.88153
482	10122.8512
483	10122.82319
484	10122.39941
485	10121.92333
486	10121.46721
487	10121.01906
488	10120.58436
489	10120.55957
490	10120.13862
491	10120.11526
492	10119.71242
493	10119.31682
494	10119.2962
495	10118.96522
496	10118.59659
497	10118.57679
498	10118.55759
499	10118.19671
500	10117.84666
501	10117.50711
502	10117.49003
503	10117.16476
504	10117.14856
505	10117.13338
506	10116.85927
507	10116.54938
508	10116.53502
509	10116.23483
510	10116.22129
511	10116.20816
512	10115.91774
513	10115.63602
514	10115.36276
515	10115.0977
516	10115.08661
517	10114.86624
518	10114.61615
519	10114.60577
520	10114.5957
521	10114.58594
522	10114.34419
523	10114.1097
524	10113.88225
525	10113.66162
526	10113.4493
527	10113.44111
528	10113.26381
529	10113.25603
530	10113.0542
531	10112.85992
532	10112.66996
533	10112.66299
534	10112.65622
535	10112.64966
536	10112.6433
537	10112.63712
538	10112.45378
539	10112.27625
540	10112.27209
541	10112.2666
542	10112.0944
543	10111.92736
544	10111.92233
545	10111.91744
546	10111.91271
547	10111.75109
548	10111.74662
549	10111.58997
550	10111.43906
551	10111.31318
552	10111.30918
553	10111.16566
554	10111.02719
555	10110.89212
556	10110.88853
557	10110.75761
558	10110.63062
559	10110.50808
560	10110.38921
561	10110.38622
562	10110.2877
563	10110.17541
564	10110.06587
565	10110.06304
566	10110.0603
567	10109.9542
568	10109.95162
569	10109.94911
570	10109.84683
571	10109.74711
572	10109.651
573	10109.57154
574	10109.48057
575	10109.47841
576	10109.47632
577	10109.47429
578	10109.47232
579	10109.38425
580	10109.29838
581	10109.21551
582	10109.13512
583	10109.0568
584	10109.05549
585	10109.05384
586	10108.97827
587	10108.90456
588	10108.90304
589	10108.90156
590	10108.90013
591	10108.8291
592	10108.75986
593	10108.75853
594	10108.69178
595	10108.63688
596	10108.57372
597	10108.57252
598	10108.57136
599	10108.57023
600	10108.56913
601	10108.56807
602	10108.56704
603	10108.50563
604	10108.50466
605	10108.50376
606	10108.45384
607	10108.39582
608	10108.39496
609	10108.33871
610	10108.3379
611	10108.28356
612	10108.23065
613	10108.2299
614	10108.17878
615	10108.17806
616	10108.12853
617	10108.08824
618	10108.08757
619	10108.04053
620	10108.03991
621	10107.9943
622	10107.99371
623	10107.99313
624	10107.99258
625	10107.94852
626	10107.90565
627	10107.86422
628	10107.83071
629	10107.79137
630	10107.75333
631	10107.75287
632	10107.75241
633	10107.75197
634	10107.7151
635	10107.71468
636	10107.71428
637	10107.71388
638	10107.71351
639	10107.68391
640	10107.68355
641	10107.6832
642	10107.68286
643	10107.64803
644	10107.61415
645	10107.58129
646	10107.58098
647	10107.54912
648	10107.5182
649	10107.48823
650	10107.46433
651	10107.46407
652	10107.46381
653	10107.46356
654	10107.43521
655	10107.43497
656	10107.40748
657	10107.38082
658	10107.3806
659	10107.35479
660	10107.3546
661	10107.3341
662	10107.30964
663	10107.30945
664	10107.30926
665	10107.30908
666	10107.28537
667	10107.26236
668	10107.24004
669	10107.21843
670	10107.19744
671	10107.17707
672	10107.16102
673	10107.16088
674	10107.16073
675	10107.1415
676	10107.12281
677	10107.10467
678	10107.10455
679	10107.10442
680	10107.08684
681	10107.08672
682	10107.0697
683	10107.05634
684	10107.04023
685	10107.0246
686	10107.00944
687	10106.99473
688	10106.98044
689	10106.98034
690	10106.98024
691	10106.96641
692	10106.96632
693	10106.95288
694	10106.94241
695	10106.9297
696	10106.92962
697	10106.92954
698	10106.92947
699	10106.92939
700	10106.91707
701	10106.90513
702	10106.90506
703	10106.90499
704	10061.16137
705	10016.79006
706	9973.749894
707	9932.000931
708	9891.504435
709	9852.222834
710	9814.119683
711	9777.159626
712	9777.159569
713	9777.152306
714	9777.152251
715	9777.143388
716	9777.13477
717	9777.134718
718	9777.12638
719	9777.12633
720	9777.118244
721	9777.112009
722	9777.111963
723	9777.111919
724	9777.111876
725	9777.104219
726	9777.104178
727	9777.104138
728	9777.104099
729	9777.096675
730	9777.090989
731	9777.083941
732	9777.077119
733	9777.077084
734	9777.070468
735	9777.06405
736	9777.057809
737	9777.057778
738	9777.053042
739	9777.053012
740	9777.047116
741	9777.041383
742	9777.035823
743	9777.030441
744	9777.030414
745	9777.025182
746	9777.025157
747	9777.021214
748	9777.02119
749	9777.021166
750	9777.021144
751	9777.021122
752	9777.021101
753	9777.016148
754	9777.011352
755	9777.011333
756	9777.007737
757	9777.007718
758	9777.003174
759	9776.998759
760	9774.370143
761	9771.822466
762	9771.818289
763	9771.814238
764	9735.968129
765	9701.197406
766	9667.469803
767	9634.75403
768	9603.019729
769	9572.237457
770	9542.378653
771	9513.415614
772	9485.321466
773	9458.070141
774	9431.636357
775	9405.995586
776	9381.124038
777	9356.998637
778	9333.596998
779	9310.897409
780	9288.878806
781	9267.520762
782	9246.803459
783	9226.707674
784	9207.214764
785	9188.30664
786	9169.96576
787	9152.175106
788	9134.918172
789	9118.178946
790	9101.941897
791	9086.19196
792	9070.914521
793	9056.095405
794	9041.720863
795	9027.777556
796	9014.252549
797	9001.133291
798	8988.407612
799	8976.063703
800	8964.090111
801	8952.475727
802	8941.209774
803	8930.281801
804	8919.681666
805	8909.399535
806	8899.425868
807	8889.751412
808	8880.367188
809	8871.264492
810	8862.434876
811	8853.870149
812	8845.562363
813	8837.503812
814	8829.687017
815	8822.104725
816	8814.749903
817	8807.615725
818	8800.695572
819	8793.983024
820	8787.471853
821	8781.156016
822	8775.029655
823	8769.087085
824	8763.322791
825	8757.731427
826	8752.307803
827	8747.046888
828	8741.943801
829	8736.993806
830	8732.192311
831	8727.53486
832	8723.017134
833	8718.634939
834	8714.38421
835	8710.261003
836	8706.261492
837	8702.381966
838	8698.618826
839	8694.968581
840	8691.427842
841	8687.993326
842	8684.661846
843	8681.43031
844	8678.295719
845	8675.255167
846	8672.305831
847	8669.444975
848	8666.669945
849	8663.978166
850	8661.36714
851	8658.834445
852	8656.377731
853	8653.994718
854	8651.683195
855	8649.441019
856	8647.266107
857	8645.156443
858	8643.110069
859	8641.125086
860	8639.199652
861	8637.331982
862	8635.520342
863	8633.76305
864	8632.058478
865	8630.405043
866	8628.80121
867	8627.245493
868	8625.736447
869	8624.272673
870	8622.852812
871	8621.475547
872	8620.139599
873	8618.84373
874	8617.586738
875	8616.367454
876	8615.18475
877	8614.037527
878	8612.92472
879	8611.845297
880	8610.798257
881	8609.782629
882	8608.797469
883	8607.841864
884	8606.914927
885	8606.015798
886	8605.143644
887	8604.297653
888	8603.477043
889	8602.681051
890	8601.908938
891	8601.159989
892	8600.433508
893	8599.728822
894	8599.045277
895	8598.382237
896	8597.739089
897	8597.115236
898	8596.510098
899	8595.923114
900	8595.353739
901	8594.801446
902	8594.265722
903	8593.746069
904	8593.242006
905	8592.753065
906	8592.278792
907	8591.818748
908	8591.372504
909	8590.939648
910	8590.519778
911	8590.112503
912	8589.717447
913	8589.334243
914	8588.962535
915	8588.601978
916	8588.252238
917	8587.912989
918	8587.583919
919	8587.26472
920	8586.955098
921	8586.654764
922	8586.36344
923	8586.080856
924	8585.806749
925	8585.540866
926	8585.282959
927	8585.032789
928	8584.790125
929	8584.55474
930	8584.326417
931	8584.104943
932	8583.890114
933	8583.68173
934	8583.479597
935	8583.283528
936	8583.093341
937	8582.90886
938	8582.729913
939	8582.556335
940	8582.387964
941	8582.224644
942	8582.066224
943	8581.912556
944	8581.763498
945	8581.618913
946	8581.478664
947	8581.342623
948	8581.210664
949	8581.082663
950	8580.958502
951	8580.838066
952	8580.721243
953	8580.607925
954	8580.498006
955	8580.391385
956	8580.287962
957	8580.187643
958	8580.090332
959	8579.995941
960	8579.904382
961	8579.81557
962	8579.729422
963	8579.645858
964	8579.564802
965	8579.486177
966	8579.40991
967	8576.938668
968	8576.93865
969	8576.938642
970	8576.938625
971	8574.54254
972	8574.542524
973	8574.542509
974	8572.217287
975	8569.961821
976	8569.961807
977	8567.774966
978	8565.653731
979	8563.596132
980	8561.600262
981	8559.664267
982	8559.664255
983	8557.786341
984	8557.786329
985	8555.964753
986	8554.197823
987	8554.197818
988	8552.482935
989	8552.48293
990	8552.482919
991	8552.482909
992	8552.4829
993	8496.311526
994	8441.825295
995	8388.973649
996	8337.707554
997	8287.979442
998	8239.743173
999	8192.953992
